USER;ID; %CPU ;%MEM;VSZ; RSS TTY;STAT START; TIME;  COMMAND
rafaelr+;9585;1.8;3.5 2903780 288828 ?;Sl; 13:01; 3:18;\_ /usr/lib/firefox/firefox -contentproc -childID 77 -isForBrowser -prefsLen 31732 -prefMapSize 228217 -jsInitLen 246704 -parentBuildID 20221025212237 -appDir /usr/lib/firefox/browser {ca6a7c4d-643c-48c9-8ee5-99709edf765e} 588 true tab
rafaelr+;9727;0.0;1.3 2466120 106976 ?;Sl; 13:03; 0:02;\_ /usr/lib/firefox/firefox -contentproc -childID 79 -isForBrowser -prefsLen 31732 -prefMapSize 228217 -jsInitLen 246704 -parentBuildID 20221025212237 -appDir /usr/lib/firefox/browser {24ea075f-7a01-4708-be3c-1932c8c3d210} 588 true tab
rafaelr+;9762;0.0;1.4 2468880 117856 ?;Sl; 13:03; 0:02;\_ /usr/lib/firefox/firefox -contentproc -childID 80 -isForBrowser -prefsLen 31732 -prefMapSize 228217 -jsInitLen 246704 -parentBuildID 20221025212237 -appDir /usr/lib/firefox/browser {1108a598-0441-4979-973d-203d83682c8e} 588 true tab
rafaelr+;9835;0.0;2.0 2547004 161764 ?;Sl; 13:03; 0:06;\_ /usr/lib/firefox/firefox -contentproc -childID 81 -isForBrowser -prefsLen 31732 -prefMapSize 228217 -jsInitLen 246704 -parentBuildID 20221025212237 -appDir /usr/lib/firefox/browser {45bb2d84-387b-4079-b11e-3cf2fdc92f4a} 588 true tab
rafaelr+; 10546;0.2;1.6 2504480 135848 ?;Sl; 13:22; 0:25;\_ /usr/lib/firefox/firefox -contentproc -childID 89 -isForBrowser -prefsLen 31732 -prefMapSize 228217 -jsInitLen 246704 -parentBuildID 20221025212237 -appDir /usr/lib/firefox/browser {ca7be6f0-36d9-4f40-a0b2-dc58cdb8f7c8} 588 true tab
rafaelr+; 11975;0.4;3.2 2776708 265368 ?;Sl; 13:53; 0:30;\_ /usr/lib/firefox/firefox -contentproc -childID 102 -isForBrowser -prefsLen 31981 -prefMapSize 228217 -jsInitLen 246704 -parentBuildID 20221025212237 -appDir /usr/lib/firefox/browser {797b0f97-d215-4793-bb9e-4465bb7bc8a1} 588 true tab
rafaelr+; 12732;0.7;3.8 2955092 313112 ?;Sl; 14:11; 0:49;\_ /usr/lib/firefox/firefox -contentproc -childID 107 -isForBrowser -prefsLen 31981 -prefMapSize 228217 -jsInitLen 246704 -parentBuildID 20221025212237 -appDir /usr/lib/firefox/browser {2c20fe16-49c7-40eb-b256-97bc248b17ef} 588 true tab
rafaelr+; 13242;0.3;3.0 2698168 242308 ?;Sl; 14:32; 0:16;\_ /usr/lib/firefox/firefox -contentproc -childID 109 -isForBrowser -prefsLen 31981 -prefMapSize 228217 -jsInitLen 246704 -parentBuildID 20221025212237 -appDir /usr/lib/firefox/browser {2413dd7f-8779-4e09-aa9c-7f1437334a07} 588 true tab
rafaelr+; 13604;0.0;1.4 2472836 114924 ?;Sl; 15:06; 0:01;\_ /usr/lib/firefox/firefox -contentproc -childID 110 -isForBrowser -prefsLen 31981 -prefMapSize 228217 -jsInitLen 246704 -parentBuildID 20221025212237 -appDir /usr/lib/firefox/browser {a8996aed-7ca8-4bc9-bb8d-8548556c82b9} 588 true tab
rafaelr+; 14546;0.2;1.5 2492440 126764 ?;Sl; 15:35; 0:03;\_ /usr/lib/firefox/firefox -contentproc -childID 114 -isForBrowser -prefsLen 31981 -prefMapSize 228217 -jsInitLen 246704 -parentBuildID 20221025212237 -appDir /usr/lib/firefox/browser {97366e97-ef65-4cf9-9f80-82f38a655337} 588 true tab
rafaelr+; 14857;0.2;1.8 2712292 149936 ?;Sl; 15:41; 0:02;\_ /usr/lib/firefox/firefox -contentproc -childID 116 -isForBrowser -prefsLen 31981 -prefMapSize 228217 -jsInitLen 246704 -parentBuildID 20221025212237 -appDir /usr/lib/firefox/browser {da9b0462-9753-41bd-baab-6b920cebf7c6} 588 true tab
rafaelr+; 15231;0.4;1.8 2498772 148280 ?;Sl; 15:51; 0:01;\_ /usr/lib/firefox/firefox -contentproc -childID 119 -isForBrowser -prefsLen 32039 -prefMapSize 228217 -jsInitLen 246704 -parentBuildID 20221025212237 -appDir /usr/lib/firefox/browser {9f2b64b5-70ad-40cc-b34a-e8d1fea67ec1} 588 true tab
rafaelr+; 15256;0.0;1.0 2445440 85284 ?; Sl; 15:51; 0:00;\_ /usr/lib/firefox/firefox -contentproc -childID 120 -isForBrowser -prefsLen 32039 -prefMapSize 228217 -jsInitLen 246704 -parentBuildID 20221025212237 -appDir /usr/lib/firefox/browser {b3ea083a-6120-467f-a424-3bc0f00e3b51} 588 true tab
rafaelr+; 15320;0.0;1.0 2445456 85324 ?; Sl; 15:53; 0:00;\_ /usr/lib/firefox/firefox -contentproc -childID 121 -isForBrowser -prefsLen 32039 -prefMapSize 228217 -jsInitLen 246704 -parentBuildID 20221025212237 -appDir /usr/lib/firefox/browser {1d0ba978-57d7-41ed-a573-ffc0d5b73347} 588 true tab
rafaelr+; 15792;1.2;1.0 2445196 83640 ?; Sl; 15:57; 0:00;\_ /usr/lib/firefox/firefox -contentproc -childID 122 -isForBrowser -prefsLen 32039 -prefMapSize 228217 -jsInitLen 246704 -parentBuildID 20221025212237 -appDir /usr/lib/firefox/browser {3e0ed342-d955-4aad-b4b4-4516b587b9c7} 588 true tab
rafaelr+;1709;0.0;0.1 175772 14308 ?;S;nov01; 0:22 i3bar --bar_id=bar-0 --socket=/run/user/1000/i3/ipc-socket.486
rafaelr+;1717;0.1;0.1 167824 14644 ?;Sl; nov01; 3:42;\_ python3 /home/rafaelraposo/.local/bin/bumblebee-status -t gruvbox -m pomodoro memory battery date time -p time.format= %H:%M
root;7221;0.0;0.0;11736;6040 ?;Ss; 11:08; 0:03 /usr/lib/bluetooth/bluetoothd
rafaelr+;7245;0.0;0.0; 8072;3380 ?;S;11:08; 0:00 /usr/bin/zsh
rafaelr+;7248;0.2;0.9 1250020 78652 ?; Sl; 11:08; 0:48;\_ /usr/bin/python /usr/bin/blueman-manager
rafaelr+;7651;0.0;1.0 34031340 86188 ?;S;12:41; 0:00 /usr/lib/electron19/electron --type=zygote --no-zygote-sandbox --enable-crashpad --enable-crashpad
rafaelr+;7652;0.0;1.0 34031328 84680 ?;S;12:41; 0:00 /usr/lib/electron19/electron --type=zygote --enable-crashpad --enable-crashpad
rafaelr+;7654;0.0;0.1 34031328 13680 ?;S;12:41; 0:00;\_ /usr/lib/electron19/electron --type=zygote --enable-crashpad --enable-crashpad
rafaelr+;7689;1.7;2.5 38903344 206724 ?; Ssl;12:41; 3:30 /usr/lib/electron19/electron --enable-crashpad /usr/lib/code/code.js
rafaelr+;7700;0.0;1.1 34031336 89856 ?;S;12:41; 0:00;\_ /usr/lib/electron19/electron --type=zygote --no-zygote-sandbox --enable-crashpad --enable-crashpad
rafaelr+;7742;4.9;2.5 34433800 205048 ?; Sl; 12:41; 9:46;|; \_ /usr/lib/electron19/electron --type=gpu-process --enable-crashpad --crashpad-handler-pid=7728 --enable-crash-reporter=3c914e19-bee1-49d0-8929-120d54b8497b,no_channel --user-data-dir=/home/rafaelraposo/.config/Code - OSS --gpu-preferences=WAAAAAAAAAAgAAAIAAAAAAAAAAAAAAAAAABgAAAAAAA4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAABAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --field-trial-handle=0,i,17835353259725269364,14001851023465754864,131072 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess
rafaelr+;7701;0.0;1.0 34031328 87904 ?;S;12:41; 0:00;\_ /usr/lib/electron19/electron --type=zygote --enable-crashpad --enable-crashpad
rafaelr+;7704;0.0;0.1 34031328 13644 ?;S;12:41; 0:00;|; \_ /usr/lib/electron19/electron --type=zygote --enable-crashpad --enable-crashpad
rafaelr+;7760;0.0;1.2 34081280 102248 ?; Sl; 12:41; 0:00;\_ /usr/lib/electron19/electron --type=utility --utility-sub-type=network.mojom.NetworkService --lang=pt-BR --service-sandbox-type=none --enable-crashpad --crashpad-handler-pid=7728 --enable-crash-reporter=3c914e19-bee1-49d0-8929-120d54b8497b,no_channel --user-data-dir=/home/rafaelraposo/.config/Code - OSS --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,17835353259725269364,14001851023465754864,131072 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --enable-crashpad
rafaelr+;7775 13.4;4.0 57360576 328896 ?; Sl; 12:41;26:25;\_ /usr/lib/electron19/electron --type=renderer --enable-crashpad --crashpad-handler-pid=7728 --enable-crash-reporter=3c914e19-bee1-49d0-8929-120d54b8497b,no_channel --user-data-dir=/home/rafaelraposo/.config/Code - OSS --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --app-path=/usr/lib/code --no-sandbox --no-zygote --enable-blink-features=HighlightAPI --lang=pt-BR --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=4 --launch-time-ticks=7600130413 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,17835353259725269364,14001851023465754864,131072 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --vscode-window-config=vscode:8056b871-4785-4ac4-9726-fc0d886ca01f --enable-crashpad
rafaelr+;7793;2.2;2.3 38442552 191644 ?; Sl; 12:41; 4:24;\_ /usr/lib/electron19/electron --inspect-port=0 /usr/lib/code/out/bootstrap-fork --type=extensionHost --skipWorkspaceStorageLock
rafaelr+;7864;0.3;1.7 364888 139320 ?; Sl; 12:41; 0:41;|; \_ /bin/python /home/rafaelraposo/.vscode-oss/extensions/ms-python.python-2022.16.1-universal/pythonFiles/run-jedi-language-server.py
rafaelr+;7875;0.0;0.3;32932 26492 ?;S;12:41; 0:01;|; |; \_ /bin/python /home/rafaelraposo/.vscode-oss/extensions/ms-python.python-2022.16.1-universal/pythonFiles/lib/jedilsp/jedi/inference/compiled/subprocess/__main__.py /home/rafaelraposo/.vscode-oss/extensions/ms-python.python-2022.16.1-universal/pythonFiles/lib/jedilsp 3.10.8
rafaelr+;9694;0.1;1.8 38430256 147980 ?; Sl; 13:03; 0:13;|; \_ /usr/lib/electron19/electron /usr/lib/code/extensions/html-language-features/server/dist/node/htmlServerMain --node-ipc --clientProcessId=7793
rafaelr+; 10106;1.1;1.7 38430256 139548 ?; Sl; 13:11; 1:58;|; \_ /usr/lib/electron19/electron /usr/lib/code/extensions/json-language-features/server/dist/node/jsonServerMain --node-ipc --clientProcessId=7793
rafaelr+; 10431;0.4;1.5 38397472 120968 ?; Sl; 13:19; 0:42;|; \_ /usr/lib/electron19/electron /usr/lib/code/extensions/css-language-features/server/dist/node/cssServerMain --node-ipc --clientProcessId=7793
rafaelr+;7805;0.2;2.3 46894192 192836 ?; Sl; 12:41; 0:25;\_ /usr/lib/electron19/electron --type=renderer --enable-crashpad --crashpad-handler-pid=7728 --enable-crash-reporter=3c914e19-bee1-49d0-8929-120d54b8497b,no_channel --user-data-dir=/home/rafaelraposo/.config/Code - OSS --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --app-path=/usr/lib/code --no-sandbox --no-zygote --node-integration-in-worker --lang=pt-BR --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=5 --launch-time-ticks=7609403852 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,17835353259725269364,14001851023465754864,131072 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --vscode-window-config=vscode:1d25b044-064e-4580-bc21-dac7107e44fc --vscode-window-kind=shared-process --enable-crashpad
rafaelr+;7819;0.0;1.3 38430532 108220 ?; Sl; 12:41; 0:01;\_ /usr/lib/electron19/electron /usr/lib/code/out/bootstrap-fork --type=ptyHost --logsPath /home/rafaelraposo/.config/Code - OSS/logs/20221103T124115
rafaelr+;7839;0.0;1.3 38446852 108612 ?; Sl; 12:41; 0:01;\_ /usr/lib/electron19/electron /usr/lib/code/out/bootstrap-fork --type=fileWatcher
rafaelr+;7728;0.0;0.0 33569380 4092 ?; Sl; 12:41; 0:00 /usr/lib/electron19/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --no-rate-limit --database=/home/rafaelraposo/.config/Code - OSS/Crashpad --annotation=_companyName=Microsoft --annotation=_productName=Code - OSS --annotation=_version=1.72.1 --annotation=lsb-release=Arch Linux --annotation=plat=Linux --annotation=prod=Electron --annotation=ver=19.0.13 --initial-client-fd=66 --shared-client-connection
rafaelr+; 15050;0.2;1.6 1088204 132520 ?;Sl; 15:48; 0:01 alacritty
rafaelr+; 15062;0.0;0.0;10196;6392 pts/0;Ss; 15:48; 0:00;\_ /usr/bin/zsh
rafaelr+; 15087;4.5;0.0; 9856;6344 pts/0;S+; 15:49; 0:23;\_ htop
rafaelr+; 15341;0.4;1.7 1086240 137444 ?;Sl; 15:54; 0:01 alacritty
rafaelr+; 15353;0.1;0.0;10604;6968 pts/1;Ss; 15:54; 0:00;\_ /usr/bin/zsh
rafaelr+; 15827;0.0;0.0;10452;3920 pts/1;R+; 15:57; 0:00;\_ ps auxf
